Model,Test Accuracy,Test Loss
VisionTransformer,0.8089005351066589,0.6337242126464844
ConvNetV3,0.36910995841026306,1.7177278995513916
ConvNetV1,0.3560209572315216,1.7962729930877686
ConvNetV2,0.4083769619464874,1.5697993040084839
